,genero,monto,fecha,hora,tipo_tc,linea_tc,interes_tc,status_txn,is_prime,dcto,cashback,fraude,device_score,dia
0,F,608.3456335,2020-01-21,20,FÃ­sica,71000,51,Aceptada,False,60.83456335,5.475110702,False,3,Tuesday
1,F,88.71924289,2020-01-15,7,Virtual,71000,51,Aceptada,False,0.0,1.774384858,False,1,Wednesday
2,F,790.0376533,2020-01-17,11,Virtual,94000,56,En proceso,False,0.0,15.80075307,False,1,Friday
3,F,767.0053873,2020-05-01,11,FÃ­sica,94000,56,Aceptada,False,0.0,7.670053873,False,3,Friday
4,F,254.1710526,2020-01-30,10,FÃ­sica,94000,56,Aceptada,False,0.0,2.541710526,False,3,Thursday
5,F,37.00374724,2020-01-27,3,FÃ­sica,94000,56,Rechazada,False,0.0,0.370037472,False,2,Monday
6,F,334.5160168,2020-06-01,2,FÃ­sica,94000,56,Aceptada,False,33.45160168,3.010644152,False,1,Monday
7,F,322.2644048,2020-11-01,13,FÃ­sica,94000,56,Aceptada,False,0.0,3.222644048,False,4,Sunday
8,F,911.7978036,2020-01-19,3,Virtual,94000,56,Aceptada,False,91.17978036,16.41236046,False,3,Sunday
9,F,160.0951872,2020-08-01,2,FÃ­sica,55000,57,Aceptada,False,16.00951872,1.440856685,False,3,Saturday
10,F,60.74276394,2020-01-18,10,FÃ­sica,55000,57,Aceptada,False,0.0,0.607427639,False,1,Saturday
11,F,517.5417181,2020-07-01,14,FÃ­sica,55000,57,Aceptada,False,51.75417181,4.657875463,False,2,Wednesday
12,F,436.9502657,2020-01-30,6,Virtual,55000,57,En proceso,False,87.39005313,6.99120425,False,1,Thursday
13,F,439.3063117,2020-01-26,16,FÃ­sica,55000,57,Aceptada,False,0.0,4.393063117,False,5,Sunday
14,F,599.014183,2020-01-30,22,FÃ­sica,55000,57,Aceptada,False,119.8028366,4.792113464,False,5,Thursday
15,F,576.2429866,2020-04-01,8,FÃ­sica,55000,57,Aceptada,False,0.0,5.762429866,False,2,Wednesday
16,F,415.3643119,2020-01-26,19,FÃ­sica,62000,34,Aceptada,False,0.0,4.153643119,False,2,Sunday
17,F,62.60783621,2020-01-25,12,FÃ­sica,62000,34,Aceptada,False,0.0,0.626078362,False,3,Saturday
18,--,277.1765241,2020-01-27,6,FÃ­sica,83000,37,Aceptada,False,55.43530481,2.217412193,False,2,Monday
19,M,31.780052,2020-01-25,11,FÃ­sica,33000,54,En proceso,False,0.0,0.31780052,False,2,Saturday
20,M,680.8970683,2020-04-01,15,FÃ­sica,33000,54,Aceptada,False,136.1794137,5.447176546,False,5,Wednesday
21,M,243.0206747,2020-11-01,3,FÃ­sica,33000,54,Aceptada,False,0.0,2.430206747,True,1,Sunday
22,F,650.5538036,2020-01-26,16,FÃ­sica,39000,55,Aceptada,False,0.0,6.505538036,False,3,Sunday
23,--,905.1150722,2020-01-22,23,Virtual,72000,57,Aceptada,False,90.51150722,16.2920713,False,4,Wednesday
24,--,392.6937372,2020-01-16,10,FÃ­sica,72000,57,Aceptada,False,0.0,3.926937372,False,1,Thursday
25,--,621.6047006,2020-01-19,13,FÃ­sica,72000,57,Aceptada,False,0.0,6.216047006,False,2,Sunday
26,--,43.72167021,2020-04-01,17,FÃ­sica,72000,57,Aceptada,False,0.0,0.437216702,True,1,Wednesday
27,--,444.2993421,2020-01-17,6,Virtual,72000,57,En proceso,False,0.0,8.885986842,False,3,Friday
28,M,460.1188027,2020-12-01,18,FÃ­sica,76000,58,Aceptada,False,46.01188027,4.141069224,False,1,Tuesday
29,M,972.1334966,2020-05-01,14,FÃ­sica,76000,58,Aceptada,False,0.0,9.721334966,False,4,Friday
30,M,121.7157878,2020-01-26,21,FÃ­sica,76000,58,Aceptada,False,0.0,1.217157878,False,2,Sunday
31,M,594.7690795,2020-12-01,3,Virtual,76000,58,Rechazada,False,59.47690795,10.70584343,False,4,Tuesday
32,M,689.4506893,2020-01-15,4,FÃ­sica,76000,58,Aceptada,False,0.0,6.894506893,False,1,Wednesday
33,M,51.58899492,2020-01-29,3,FÃ­sica,76000,58,En proceso,False,0.0,0.515889949,False,1,Wednesday
34,M,85.9038243,2020-01-30,13,FÃ­sica,76000,58,Aceptada,False,0.0,0.859038243,False,4,Thursday
35,F,687.6252621,2020-01-21,4,FÃ­sica,62000,45,En proceso,False,68.76252621,6.188627359,False,1,Tuesday
36,F,305.1780781,2020-04-01,11,FÃ­sica,62000,45,Aceptada,False,30.51780781,2.746602703,False,1,Wednesday
37,F,253.3271473,2020-01-14,8,FÃ­sica,62000,45,Aceptada,False,0.0,2.533271473,True,1,Tuesday
38,F,18.47114828,2020-01-16,12,Virtual,62000,45,Rechazada,False,0.0,0.369422966,False,1,Thursday
39,F,637.9485516,2020-01-17,18,FÃ­sica,62000,45,En proceso,False,0.0,6.379485516,False,5,Friday
40,F,812.3275524,2020-01-27,23,FÃ­sica,62000,45,Aceptada,False,0.0,8.123275524,False,1,Monday
41,F,449.2023715,2020-07-01,18,Virtual,62000,45,Aceptada,False,0.0,8.98404743,False,3,Wednesday
42,F,586.507627,2020-01-18,16,Virtual,62000,45,Aceptada,False,58.6507627,10.55713729,False,1,Saturday
43,F,9.490079551,2020-07-01,7,FÃ­sica,62000,45,Rechazada,False,0.949007955,0.085410716,False,4,Wednesday
44,F,581.5642017,2020-01-26,6,FÃ­sica,62000,45,Aceptada,False,0.0,5.815642017,False,1,Sunday
45,M,948.7450691,2020-01-29,7,Virtual,44000,42,Aceptada,False,189.7490138,15.1799211,False,5,Wednesday
46,M,723.5893626,2020-12-01,17,FÃ­sica,44000,42,Aceptada,False,0.0,7.235893626,False,3,Tuesday
47,M,784.7254218,2020-01-18,21,Virtual,44000,42,En proceso,False,0.0,15.69450844,False,2,Saturday
48,F,513.6973955,2020-01-28,2,FÃ­sica,81000,57,Aceptada,False,0.0,5.136973955,False,2,Tuesday
49,M,188.4987298,2020-01-14,9,FÃ­sica,64000,45,Aceptada,False,18.84987298,1.696488568,False,3,Tuesday
50,M,169.384236,2020-03-01,17,FÃ­sica,64000,45,Rechazada,False,0.0,1.69384236,False,2,Sunday
51,M,314.8805156,2020-10-01,12,FÃ­sica,64000,45,Aceptada,False,31.48805156,2.833924641,False,5,Thursday
52,--,972.6180779,2020-02-01,10,Virtual,34000,48,Aceptada,True,0.0,19.45236156,False,2,Saturday
53,--,86.32159086,2020-01-27,13,FÃ­sica,34000,48,Aceptada,True,8.632159086,0.776894318,False,1,Monday
54,--,294.9425164,2020-12-01,16,FÃ­sica,34000,48,Aceptada,True,29.49425164,2.654482648,False,4,Tuesday
55,--,276.9087653,2020-01-17,5,FÃ­sica,34000,48,En proceso,True,0.0,2.769087653,False,3,Friday
56,--,534.3527573,2020-01-13,23,Virtual,34000,48,Aceptada,True,106.8705515,8.549644116,False,5,Monday
57,M,499.9110127,2020-06-01,15,FÃ­sica,67000,35,Aceptada,False,0.0,4.999110127,False,5,Monday
58,M,236.8562229,2020-03-01,1,FÃ­sica,67000,35,Aceptada,False,0.0,2.368562229,False,4,Sunday
59,M,19.78947623,2020-04-01,16,FÃ­sica,67000,35,Aceptada,False,0.0,0.197894762,True,5,Wednesday
60,M,634.1325603,2020-01-20,3,Virtual,67000,35,Aceptada,False,0.0,12.68265121,False,4,Monday
61,M,823.0559347,2020-09-01,9,FÃ­sica,67000,35,Aceptada,False,82.30559347,7.407503413,False,2,Tuesday
62,M,82.67100295,2020-03-01,1,Virtual,67000,35,Aceptada,False,8.267100295,1.488078053,False,2,Sunday
63,M,499.3875434,2020-08-01,5,Virtual,67000,35,Aceptada,False,0.0,9.987750869,False,5,Saturday
64,M,670.9361402,2020-01-25,22,FÃ­sica,67000,35,Aceptada,False,0.0,6.709361402,False,2,Saturday
65,M,409.5437679,2020-07-01,14,Virtual,67000,35,Aceptada,False,40.95437679,7.371787822,False,4,Wednesday
66,M,702.8178848,2020-01-17,8,FÃ­sica,67000,35,Aceptada,False,70.28178848,6.325360963,False,1,Friday
67,M,415.5992852,2020-01-28,8,FÃ­sica,67000,35,Aceptada,False,83.11985703,3.324794281,False,3,Tuesday
68,M,55.96940082,2020-12-01,19,FÃ­sica,67000,35,En proceso,False,0.0,0.559694008,False,1,Tuesday
69,M,712.338018,2020-01-29,16,FÃ­sica,67000,35,Rechazada,False,0.0,7.12338018,False,5,Wednesday
70,M,133.4416696,2020-12-01,5,Virtual,87000,43,Aceptada,False,13.34416696,2.401950053,False,1,Tuesday
71,M,100.2492617,2020-01-16,21,FÃ­sica,87000,43,En proceso,False,0.0,1.002492617,False,2,Thursday
72,M,332.6512343,2020-02-01,6,FÃ­sica,87000,43,Aceptada,False,0.0,3.326512343,False,5,Saturday
73,M,906.7733692,2020-05-01,23,Virtual,87000,43,En proceso,False,90.67733692,16.32192065,False,5,Friday
74,M,627.4017008,2020-09-01,7,FÃ­sica,87000,43,Rechazada,False,0.0,6.274017008,False,1,Tuesday
75,M,421.1706331,2020-01-22,21,Virtual,87000,43,En proceso,False,0.0,8.423412662,False,1,Wednesday
76,M,893.4629686,2020-01-30,4,FÃ­sica,87000,43,Aceptada,False,0.0,8.934629686,False,5,Thursday
77,M,707.3573677,2020-01-22,19,FÃ­sica,87000,43,Aceptada,False,0.0,7.073573677,False,1,Wednesday
78,M,712.1848213,2020-09-01,14,FÃ­sica,67000,46,Aceptada,False,71.21848213,6.409663392,False,3,Tuesday
79,M,479.6308898,2020-07-01,9,Virtual,67000,46,En proceso,False,47.96308898,8.633356016,False,1,Wednesday
80,M,346.047056,2020-01-26,16,FÃ­sica,67000,46,Rechazada,False,0.0,3.46047056,False,5,Sunday
81,M,708.4591551,2020-05-01,14,FÃ­sica,67000,46,En proceso,False,0.0,7.084591551,False,2,Friday
82,M,857.1079772,2020-01-13,19,FÃ­sica,76000,49,Aceptada,False,85.71079772,7.713971795,False,4,Monday
83,M,749.22238,2020-01-23,21,FÃ­sica,65000,57,Aceptada,False,0.0,7.4922238,False,3,Thursday
84,F,616.7447328,2020-01-17,6,FÃ­sica,28000,42,Rechazada,False,123.3489466,4.933957863,False,4,Friday
85,F,880.4489825,2020-09-01,3,FÃ­sica,28000,42,Aceptada,False,0.0,8.804489825,False,1,Tuesday
